Title,Distibutor,Max Theaters,Opening Weekend,Opening Theaters,Year,Weekend #,Multiplier,Box Office Mojo URL,RT Rating,Mojo Genre,Mojo MPAA,Mojo Budget,Director,Producer,Composer,Gross
The Croods,Fox,4065,43639736,4046,2013,12,4.29,http://www.boxofficemojo.com/movies/?id=croods.htm,70,Animation,PG,135,Kirk De Micco,Kristine Belson,Alan Silvestri,187168425
Sherlock Holmes: A Game of Shadows,WB,3703,39637079,3703,2011,50,4.71,http://www.boxofficemojo.com/movies/?id=sherlockholmes2.htm,60,Adventure,PG-13,?,Guy Ritchie,Susan Downey,Hans Zimmer,186848418
Pitch Perfect 2,Uni.,3660,69216890,3473,2015,20,2.66,http://www.boxofficemojo.com/movies/?id=pitchperfect2.htm,65,Comedy,PG-13,29,Elizabeth Banks,Elizabeth Banks,Mark Mothersbaugh,184296230
The Revenant,Fox,3711,474560,4,2016,2,386.96,http://www.boxofficemojo.com/movies/?id=revenant.htm,81,Action,R,135,Alejandro Gonz,Steve Golin,?,183637894
The Simpsons Movie,Fox,3926,74036787,3922,2007,30,2.47,http://www.boxofficemojo.com/movies/?id=simpsons.htm,88,Animation,PG-13,75,David Silverman,James L. Brooks,Hans Zimmer,183135014
Lincoln,BV,2293,944308,11,2012,46,192.95,http://www.boxofficemojo.com/movies/?id=lincoln.htm,90,Historical Drama,PG-13,65,Steven Spielberg,Kathleen Kennedy,John Williams,182207973
Thor,Par.,3963,65723338,3955,2011,18,2.75,http://www.boxofficemojo.com/movies/?id=thor.htm,77,Action,PG-13,150,Kenneth Branagh,Louis D,Patrick Doyle,181030624
Ant-Man,BV,3868,57225526,3856,2015,29,3.15,http://www.boxofficemojo.com/movies/?id=antman.htm,81,Action,PG-13,130,Peyton Reed,Kevin Feige,Christophe Beck,180202163
Madagascar: Escape 2 Africa,P/DW,4065,63106589,4056,2008,45,2.85,http://www.boxofficemojo.com/movies/?id=madagascar2.htm,64,Animation,PG,150,Eric Darnell,Mireille Soria,Hans Zimmer,180010950
X-Men Origins: Wolverine,Fox,4102,85058003,4099,2009,18,2.11,http://www.boxofficemojo.com/movies/?id=wolverine.htm,38,Action,PG-13,150,Gavin Hood,Lauren Schuler Donner,Harry Gregson,179883157
MIB 3,Sony,4248,54592779,4248,2012,21,3.28,http://www.boxofficemojo.com/movies/?id=mib3.htm,68,Sci-Fi Comedy,PG-13,225,Barry Sonnenfeld,Steven Spielberg,Danny Elfman,179020854
Home (2015),Fox,3801,52107731,3708,2015,13,3.4,http://www.boxofficemojo.com/movies/?id=happysmekday.htm,47,Animation,PG,135,Tim Johnson,Mireille Soria,Lorne Balfe,177397510
Night at the Museum: Battle of the Smithsonian,Fox,4101,54173286,4096,2009,21,3.27,http://www.boxofficemojo.com/movies/?id=nightatthemuseum2.htm,44,Family Adventure,PG,150,Shawn Levy,Chris Columbus,Alan Silvestri,177243721
